timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;clean_acc;clean_loss;train_acc;train_loss;f1;params;total_time_sec
18/12/2025 12:31;0;DARTS;DARTS;DARTS;47,949998;;31,879999;;;3,349342;79,446
18/12/2025 12:32;1;DARTS;DARTS;DARTS;61,389998;;53,601998;;;3,349342;79,916
18/12/2025 12:33;2;DARTS;DARTS;DARTS;64,439997;;63,615997;;;3,349342;82,249
18/12/2025 12:35;3;DARTS;DARTS;DARTS;75,759997;;69,685997;;;3,349342;79,038
18/12/2025 12:36;4;DARTS;DARTS;DARTS;77,039997;;73,981997;;;3,349342;81,193
18/12/2025 12:37;5;DARTS;DARTS;DARTS;78,819998;;76,237998;;;3,349342;79,637
18/12/2025 12:39;6;DARTS;DARTS;DARTS;81,699997;;78,229998;;;3,349342;82,009
18/12/2025 12:40;7;DARTS;DARTS;DARTS;83,749997;;79,653997;;;3,349342;82,197
18/12/2025 12:41;8;DARTS;DARTS;DARTS;83,529997;;80,929997;;;3,349342;82,215
18/12/2025 12:43;9;DARTS;DARTS;DARTS;82,229997;;81,549998;;;3,349342;81,539
18/12/2025 12:44;10;DARTS;DARTS;DARTS;82,439997;;82,481997;;;3,349342;81,663
18/12/2025 12:46;11;DARTS;DARTS;DARTS;86,299997;;83,463998;;;3,349342;80,926
18/12/2025 12:47;12;DARTS;DARTS;DARTS;85,929998;;83,973997;;;3,349342;79,411
18/12/2025 12:48;13;DARTS;DARTS;DARTS;87,539997;;84,279998;;;3,349342;81,267
18/12/2025 12:50;14;DARTS;DARTS;DARTS;82,899998;;84,779997;;;3,349342;81,802
18/12/2025 12:51;15;DARTS;DARTS;DARTS;86,629998;;85,195998;;;3,349342;81,502
18/12/2025 12:52;16;DARTS;DARTS;DARTS;87,429997;;85,501997;;;3,349342;80,589
18/12/2025 12:54;17;DARTS;DARTS;DARTS;88,489998;;85,811998;;;3,349342;81,905
18/12/2025 12:55;18;DARTS;DARTS;DARTS;88,109997;;86,275998;;;3,349342;79,743
18/12/2025 12:56;19;DARTS;DARTS;DARTS;89,199997;;86,507997;;;3,349342;80,832
18/12/2025 12:58;20;DARTS;DARTS;DARTS;88,919998;;86,829997;;;3,349342;79,547
18/12/2025 12:59;21;DARTS;DARTS;DARTS;88,289997;;87,077997;;;3,349342;80,817
18/12/2025 13:00;22;DARTS;DARTS;DARTS;87,189997;;87,663997;;;3,349342;81,208
18/12/2025 13:02;23;DARTS;DARTS;DARTS;89,049998;;87,619998;;;3,349342;82,061
18/12/2025 13:03;24;DARTS;DARTS;DARTS;87,249997;;87,761997;;;3,349342;82,429
18/12/2025 13:05;25;DARTS;DARTS;DARTS;90,239997;;87,907997;;;3,349342;82,403
18/12/2025 13:06;26;DARTS;DARTS;DARTS;86,709997;;87,811997;;;3,349342;80,298
18/12/2025 13:07;27;DARTS;DARTS;DARTS;89,859998;;88,221998;;;3,349342;79,474
18/12/2025 13:09;28;DARTS;DARTS;DARTS;87,729998;;88,309997;;;3,349342;83,551
18/12/2025 13:10;29;DARTS;DARTS;DARTS;89,319997;;88,365997;;;3,349342;84,604
18/12/2025 13:11;30;DARTS;DARTS;DARTS;89,359997;;88,565997;;;3,349342;82,092
18/12/2025 13:13;31;DARTS;DARTS;DARTS;90,279997;;88,623998;;;3,349342;83,289
18/12/2025 13:14;32;DARTS;DARTS;DARTS;87,379998;;88,569997;;;3,349342;84,985
18/12/2025 13:16;33;DARTS;DARTS;DARTS;90,389997;;88,843997;;;3,349342;82,152
18/12/2025 13:17;34;DARTS;DARTS;DARTS;90,269997;;88,943997;;;3,349342;82,913
18/12/2025 13:18;35;DARTS;DARTS;DARTS;88,089997;;88,997997;;;3,349342;83,153
18/12/2025 13:20;36;DARTS;DARTS;DARTS;90,079997;;88,977997;;;3,349342;83,52
18/12/2025 13:21;37;DARTS;DARTS;DARTS;90,429998;;89,113997;;;3,349342;83,85
18/12/2025 13:22;38;DARTS;DARTS;DARTS;91,019997;;89,191997;;;3,349342;81,932
18/12/2025 13:24;39;DARTS;DARTS;DARTS;85,819998;;88,983997;;;3,349342;83,066
18/12/2025 13:25;40;DARTS;DARTS;DARTS;90,169997;;89,259997;;;3,349342;81,439
