Generation;CleanAcc;BlackAcc
1;89,68253968;69,99007937
2;89,68253968;69,99007937
3;89,68253968;69,99007937
4;89,68253968;69,99007937
5;89,68253968;69,99007937
6;89,68253968;69,99007937
7;89,68253968;69,99007937
8;89,68253968;69,99007937
9;89,68253968;69,99007937
10;89,68253968;69,99007937
11;89,68253968;69,99007937
12;89,68253968;69,99007937
13;89,68253968;69,99007937
14;89,68253968;69,99007937
15;89,68253968;69,99007937
16;89,68253968;69,99007937
17;89,68253968;69,99007937
18;89,68253968;69,99007937
19;89,68253968;69,99007937
20;89,68253968;69,99007937
21;89,68253968;69,99007937
22;89,68253968;69,99007937
23;89,68253968;69,99007937
24;89,68253968;69,99007937
25;89,68253968;69,99007937
26;89,68253968;69,99007937
27;89,68253968;69,99007937
28;89,68253968;69,99007937
29;89,68253968;69,99007937
0;89,18650794;66,96428571
0;88,88888889;72,37103175
1;88,88888889;72,37103175
2;88,88888889;72,37103175
3;88,88888889;72,37103175
4;88,88888889;72,37103175
5;88,88888889;72,37103175
6;88,88888889;72,37103175
7;88,88888889;72,37103175
8;88,88888889;72,37103175
9;88,88888889;72,37103175
10;88,88888889;72,37103175
11;88,88888889;72,37103175
12;88,88888889;72,37103175
13;88,88888889;72,37103175
14;88,88888889;72,37103175
15;88,88888889;72,37103175
16;88,88888889;72,37103175
17;88,88888889;72,37103175
18;88,88888889;72,37103175
19;88,88888889;72,37103175
20;88,88888889;72,37103175
21;88,88888889;72,37103175
22;88,88888889;72,37103175
23;88,88888889;72,37103175
24;88,88888889;72,37103175
25;88,88888889;72,37103175
26;88,88888889;72,37103175
27;88,88888889;72,37103175
28;88,88888889;72,37103175
29;88,88888889;72,37103175
0;88,49206349;73,21428571
1;88,49206349;73,21428571
2;88,49206349;73,21428571
3;88,49206349;73,21428571
4;88,49206349;73,21428571
5;88,49206349;73,21428571
6;88,49206349;73,21428571
7;88,49206349;73,21428571
8;88,49206349;73,21428571
9;88,49206349;73,21428571
10;88,49206349;73,21428571
11;88,49206349;73,21428571
12;88,49206349;73,21428571
13;88,49206349;73,21428571
14;88,49206349;73,21428571
15;88,49206349;73,21428571
16;88,49206349;73,21428571
17;88,49206349;73,21428571
18;88,49206349;73,21428571
19;88,49206349;73,21428571
20;88,49206349;73,21428571
21;88,49206349;73,21428571
22;88,49206349;73,21428571
23;88,49206349;73,21428571
24;88,49206349;73,21428571
25;88,49206349;73,21428571
26;88,49206349;73,21428571
27;88,49206349;73,21428571
28;88,49206349;73,21428571
29;88,49206349;73,21428571
0;88,39285714;75,1984127
1;88,39285714;75,1984127
2;88,39285714;75,1984127
3;88,39285714;75,1984127
4;88,39285714;75,1984127
5;88,39285714;75,1984127
6;88,39285714;75,1984127
7;88,39285714;75,1984127
8;88,39285714;75,1984127
9;88,39285714;75,1984127
10;88,39285714;75,1984127
11;88,39285714;75,1984127
12;88,39285714;75,1984127
13;88,39285714;75,1984127
14;88,39285714;75,1984127
15;88,39285714;75,1984127
16;88,39285714;75,1984127
17;88,39285714;75,1984127
18;88,39285714;75,1984127
19;88,39285714;75,1984127
20;88,39285714;75,1984127
21;88,39285714;75,1984127
22;88,39285714;75,1984127
23;88,39285714;75,1984127
24;88,39285714;75,1984127
25;88,39285714;75,1984127
26;88,39285714;75,1984127
27;88,39285714;75,1984127
28;88,39285714;75,1984127
29;88,39285714;75,1984127
0;86,30952381;75,5952381
1;86,30952381;75,5952381
2;86,30952381;75,5952381
3;86,30952381;75,5952381
4;86,30952381;75,5952381
5;86,30952381;75,5952381
6;86,30952381;75,5952381
7;86,30952381;75,5952381
8;86,30952381;75,5952381
9;86,30952381;75,5952381
10;86,30952381;75,5952381
11;86,30952381;75,5952381
12;86,30952381;75,5952381
13;86,30952381;75,5952381
14;86,30952381;75,5952381
15;86,30952381;75,5952381
16;86,30952381;75,5952381
17;86,30952381;75,5952381
18;86,30952381;75,5952381
19;86,30952381;75,5952381
20;86,30952381;75,5952381
21;86,30952381;75,5952381
22;86,30952381;75,5952381
23;86,30952381;75,5952381
24;86,30952381;75,5952381
25;86,30952381;75,5952381
26;86,30952381;75,5952381
27;86,30952381;75,5952381
28;86,30952381;75,5952381
29;86,30952381;75,5952381
0;83,92857143;76,24007937
1;83,92857143;76,24007937
2;83,92857143;76,24007937
3;83,92857143;76,24007937
4;83,92857143;76,24007937
5;83,92857143;76,24007937
6;83,92857143;76,24007937
7;83,92857143;76,24007937
8;83,92857143;76,24007937
9;83,92857143;76,24007937
10;83,92857143;76,24007937
11;83,92857143;76,24007937
12;83,92857143;76,24007937
13;83,92857143;76,24007937
14;83,92857143;76,24007937
15;83,92857143;76,24007937
16;83,92857143;76,24007937
17;83,92857143;76,24007937
18;83,92857143;76,24007937
19;83,92857143;76,24007937
20;83,92857143;76,24007937
21;83,92857143;76,24007937
22;83,92857143;76,24007937
23;83,92857143;76,24007937
24;83,92857143;76,24007937
25;83,92857143;76,24007937
26;83,92857143;76,24007937
27;83,92857143;76,24007937
28;83,92857143;76,24007937
29;83,92857143;76,24007937
