id,timestamp,genes,clean_acc,blackbox_acc,clean_acc_f,black_acc_f,genes_list,L,arch_readable,stages,balanced
36,2025-11-25T17:34:26.761996,[2. 1. 1. 1. 1. 2. 0. 2. 0. 0. 0. 1. 0. 0. 0. 0.],"83,92857143","76,24007937",83.92857143,76.24007937,"[2, 1, 1, 1, 1, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]",16,"c2:['MLP', 'Transformer', 'Transformer']; c3:['Transformer', 'Transformer', 'MLP', 'Conv']; c4:['MLP', 'Conv', 'Conv', 'Conv', 'Transformer', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,Transformer,Transformer;c3=Transformer,Transformer,MLP,Conv;c4=MLP,Conv,Conv,Conv,Transformer,Conv;c5=Conv,Conv,Conv",80.08432540000001
25,2025-11-25T17:00:14.556126,[2. 1. 2. 1. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"86,30952381","75,5952381",86.30952381,75.5952381,"[2, 1, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Transformer', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,Transformer,MLP;c3=Transformer,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Conv,Conv;c5=Conv,Conv,Conv",80.952380955
39,2025-11-25T17:41:59.571118,[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"88,39285714","75,1984127",88.39285714,75.1984127,"[2, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,"c2:['MLP', 'MLP', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,MLP,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Conv,Conv;c5=Conv,Conv,Conv",81.79563492
32,2025-11-25T17:18:39.571099,[2. 2. 2. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"88,39285714","75,04960317",88.39285714,75.04960317,"[2, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,"c2:['MLP', 'MLP', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,MLP,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Conv,Conv;c5=Conv,Conv,Conv",81.721230155
29,2025-11-25T17:10:02.048381,[2. 1. 2. 1. 1. 2. 0. 2. 0. 0. 0. 1. 0. 0. 0. 0.],"83,92857143","74,90079365",83.92857143,74.90079365,"[2, 1, 2, 1, 1, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Transformer', 'Transformer', 'MLP', 'Conv']; c4:['MLP', 'Conv', 'Conv', 'Conv', 'Transformer', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,Transformer,MLP;c3=Transformer,Transformer,MLP,Conv;c4=MLP,Conv,Conv,Conv,Transformer,Conv;c5=Conv,Conv,Conv",79.41468254
39,2025-11-25T19:52:43.716962,[2. 1. 2. 1. 1. 2. 0. 2. 0. 0. 0. 0. 0. 1. 1. 0.],"78,47222222","74,55357143",78.47222222,74.55357143,"[2, 1, 2, 1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Transformer', 'Transformer', 'MLP', 'Conv']; c4:['MLP', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Transformer', 'Transformer', 'Conv']","c2=MLP,Transformer,MLP;c3=Transformer,Transformer,MLP,Conv;c4=MLP,Conv,Conv,Conv,Conv,Conv;c5=Transformer,Transformer,Conv",76.51289682500001
41,2025-11-25T17:50:51.491960,[2. 1. 2. 1. 1. 2. 0. 2. 0. 0. 0. 0. 0. 0. 1. 0.],"83,82936508","74,50396825",83.82936508,74.50396825,"[2, 1, 2, 1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Transformer', 'Transformer', 'MLP', 'Conv']; c4:['MLP', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Conv', 'Transformer', 'Conv']","c2=MLP,Transformer,MLP;c3=Transformer,Transformer,MLP,Conv;c4=MLP,Conv,Conv,Conv,Conv,Conv;c5=Conv,Transformer,Conv",79.16666666500001
21,2025-11-25T18:33:25.640967,[2. 1. 2. 0. 1. 2. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],"88,19444444","74,35515873",88.19444444,74.35515873,"[2, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Conv', 'Transformer', 'MLP', 'Conv']; c4:['Conv', 'Conv', 'Conv', 'Conv', 'Transformer', 'Conv']; c5:['Conv', 'Conv', 'Conv']","c2=MLP,Transformer,MLP;c3=Conv,Transformer,MLP,Conv;c4=Conv,Conv,Conv,Conv,Transformer,Conv;c5=Conv,Conv,Conv",81.274801585
44,2025-11-25T17:59:10.020559,[2. 1. 2. 1. 1. 1. 0. 2. 0. 2. 0. 0. 1. 1. 1. 0.],"77,57936508","74,25595238",77.57936508,74.25595238,"[2, 1, 2, 1, 1, 1, 0, 2, 0, 2, 0, 0, 1, 1, 1, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Transformer', 'Transformer', 'Transformer', 'Conv']; c4:['MLP', 'Conv', 'MLP', 'Conv', 'Conv', 'Transformer']; c5:['Transformer', 'Transformer', 'Conv']","c2=MLP,Transformer,MLP;c3=Transformer,Transformer,Transformer,Conv;c4=MLP,Conv,MLP,Conv,Conv,Transformer;c5=Transformer,Transformer,Conv",75.91765873
19,2025-11-25T16:40:50.606620,[2. 1. 2. 1. 1. 2. 0. 2. 0. 0. 0. 0. 0. 0. 1. 0.],"83,82936508","74,20634921",83.82936508,74.20634921,"[2, 1, 2, 1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0]",16,"c2:['MLP', 'Transformer', 'MLP']; c3:['Transformer', 'Transformer', 'MLP', 'Conv']; c4:['MLP', 'Conv', 'Conv', 'Conv', 'Conv', 'Conv']; c5:['Conv', 'Transformer', 'Conv']","c2=MLP,Transformer,MLP;c3=Transformer,Transformer,MLP,Conv;c4=MLP,Conv,Conv,Conv,Conv,Conv;c5=Conv,Transformer,Conv",79.017857145
