id;timestamp;genes;clean_acc;blackbox_acc
17;2025-11-25T18:26:37.003589;[2. 1. 2. 0. 0. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];89,68253968;69,99007937
32;2025-11-25T19:35:12.650737;[0. 2. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,58333333;67,26190476
33;2025-11-25T19:37:01.600882;[0. 2. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,58333333;67,60912698
35;2025-11-25T19:42:52.235824;[0. 2. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,58333333;66,91468254
37;2025-11-25T19:44:43.553282;[0. 2. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,58333333;65,57539683
40;2025-11-25T19:54:34.376668;[0. 2. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,58333333;66,12103175
25;2025-11-25T18:37:19.692936;[0. 1. 2. 0. 0. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];89,28571429;68,84920635
29;2025-11-25T18:47:05.654283;[0. 1. 0. 0. 0. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];89,28571429;69,29563492
34;2025-11-25T18:56:53.802954;[0. 1. 2. 0. 0. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];89,28571429;69,74206349
24;2025-11-25T19:11:22.354449;[0. 2. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,28571429;67,75793651
26;2025-11-25T19:12:31.545921;[0. 2. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,28571429;67,06349206
29;2025-11-25T19:14:28.656975;[0. 2. 1. 0. 0. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];89,28571429;67,55952381
31;2025-11-25T19:16:17.830982;[0. 2. 1. 0. 0. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];89,28571429;69,09722222
32;2025-11-25T19:17:23.270452;[0. 2. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,28571429;65,32738095
34;2025-11-25T19:19:30.630062;[0. 2. 1. 0. 0. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];89,28571429;68,45238095
39;2025-11-25T19:20:35.162118;[0. 2. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,28571429;65,4265873
27;2025-11-25T19:27:23.935646;[0. 2. 1. 0. 0. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,28571429;66,0218254
29;2025-11-25T19:31:41.018761;[0. 2. 1. 0. 0. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,28571429;68,20436508
31;2025-11-25T19:33:22.781864;[0. 2. 1. 0. 0. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,28571429;65,07936508
43;2025-11-25T19:56:16.742119;[0. 2. 1. 0. 0. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0.];89,28571429;64,88095238
18;2025-11-25T16:36:22.422900;[2. 1. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];89,18650794;65,57539683
30;2025-11-25T17:12:08.265858;[2. 1. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];89,18650794;64,43452381
43;2025-11-25T17:54:30.997322;[2. 1. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];89,18650794;66,96428571
37;2025-11-25T19:00:03.281782;[0. 2. 2. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];89,18650794;65,8234127
23;2025-11-25T18:35:18.561480;[0. 1. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,98809524;66,46825397
28;2025-11-25T18:45:20.541391;[1. 2. 2. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,98809524;61,95436508
30;2025-11-25T18:48:58.186987;[0. 1. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,98809524;64,73214286
31;2025-11-25T18:51:12.926918;[1. 2. 2. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,98809524;61,85515873
32;2025-11-25T18:53:29.006807;[1. 2. 2. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,98809524;60,86309524
36;2025-11-25T18:58:45.637902;[0. 1. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,98809524;66,31944444
39;2025-11-25T19:00:58.176646;[0. 2. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,98809524;66,86507937
42;2025-11-25T19:06:14.188921;[0. 2. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,98809524;66,2202381
43;2025-11-25T19:08:06.834317;[0. 2. 1. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,98809524;67,65873016
5;2025-11-25T15:55:40.169031;[1. 2. 2. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,88888889;66,66666667
9;2025-11-25T16:09:53.217293;[1. 1. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,88888889;62,3015873
12;2025-11-25T16:16:37.953025;[1. 2. 2. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,88888889;67,11309524
45;2025-11-25T18:01:25.511374;[1. 2. 2. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.];88,88888889;67,90674603
