timestamp;epoch;genotype_full;train_accuracy;train_loss;train_f1;total_time_sec
52:26,5;0;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,099933334;2,302512407;0,058507216;576,0255022
19:36,3;1;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,115244456;2,292300463;0,071290348;2205,832079
05:12,5;2;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,155000001;2,245531082;0,123372252;4942,021509
08:45,2;3;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,188644454;2,194869995;0,178881259;8754,668468
29:47,7;4;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,247244462;2,128599405;0,24273819;13617,16628
09:06,2;5;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,272111118;2,071512699;0,266615702;19575,73299
31:54,9;6;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,287666678;2,017453432;0,279868289;28144,40768
06:19,9;7;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,296244472;1,973234892;0,288029357;37409,42683
40:46,2;8;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,299088866;1,953304887;0,291475139;46675,72975
20:18,9;9;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,30826667;1,934498429;0,301714185;56248,44036
14:46,0;10;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,311311126;1,925206423;0,304721479;66715,45515
27:24,1;11;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,315733343;1,91604197;0,309358197;78273,56007
31:22,6;12;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,320666671;1,905015111;0,3146073;89312,07935
18:26,2;13;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,320666671;1,899589896;0,31430697;99335,66521
23:50,6;14;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,32553333;1,894632697;0,319468875;114060,0866
26:41,9;15;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,325733334;1,888443708;0,319561585;128631,4039
16:37,1;16;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,33048889;1,883286476;0,324399981;142426,6431
21:05,1;17;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,331222236;1,878911495;0,325167258;157094,6147
38:51,7;18;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,330377758;1,873915792;0,324143892;172561,1714
11:36,9;19;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,334777772;1,869819999;0,328645948;188926,4333
59:14,8;20;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,336733341;1,865898609;0,330415532;206184,3339
18:26,3;21;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,335555553;1,864465475;0,328869034;225335,823
59:11,2;22;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,337000012;1,860277653;0,330536676;245780,6676
20:47,2;23;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,341688871;1,854970098;0,335464376;265076,6868
59:31,4;24;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,339355588;1,854523659;0,332882037;285400,9045
54:13,1;25;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,341111124;1,849876404;0,334555431;306682,5969
14:19,4;26;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,343511134;1,848811507;0,337124649;325888,9232
11:09,9;27;[[2 1 1 1 1 1 5 2 5 1 1 2]];0,344644427;1,844400048;0,338062559;343699,3847
