search_space;fgsm_acc;pgd_acc;robustness;params;epoch
cnn_darts;10;10;10;1930618;8
cnn_darts;10;10;10;1930618;9
cnn_darts;9,932;9,686;9,809;1930618;5
cnn_darts;9,916;9,708;9,812;1930618;2
cnn_darts;9,894;9,532;9,713;1930618;3
cnn_darts;5,878;3,36;4,619;1930618;19
cnn_darts;5,822;3,18;4,501;1930618;12
cnn_darts;5,534;3,266;4,4;1930618;16
cnn_darts;5,488;2,832;4,16;1930618;25
cnn_darts;5,292;1,846;3,569;1930618;4
cnn_darts;5,1;2,472;3,786;1930618;34
cnn_darts;4,922;2,732;3,827;1930618;7
cnn_darts;4,532;2,274;3,403;1930618;17
cnn_darts;4,51;1,946;3,228;1930618;11
cnn_darts;4,382;2,364;3,373;1930618;10
cnn_darts;4,204;1,626;2,915;1930618;21
cnn_darts;4,082;1,554;2,818;1930618;28
cnn_darts;4,054;1,756;2,905;1930618;24
cnn_darts;3,932;1,41;2,671;1930618;20
cnn_darts;3,86;1,372;2,616;1930618;23
cnn_darts;3,612;1,38;2,496;1930618;29
cnn_darts;3,524;1,398;2,461;1930618;30
cnn_darts;3,054;1,112;2,083;1930618;15
cnn_darts;2,858;0,504;1,681;1930618;36
cnn_darts;2,488;0,678;1,583;1930618;31
cnn_darts;2,172;0,742;1,457;1930618;13
cnn_darts;1,968;0,604;1,286;1930618;26
cnn_darts;1,948;0,554;1,251;1930618;14
cnn_darts;1,868;0,452;1,16;1930618;32
cnn_darts;1,416;0,302;0,859;1930618;40
cnn_darts;1,372;0,248;0,81;1930618;6
cnn_darts;1,312;0,218;0,765;1930618;1
cnn_darts;1,23;0,124;0,677;1930618;42
cnn_darts;0,958;0,082;0,52;1930618;49
cnn_darts;0,928;0,13;0,529;1930618;38
cnn_darts;0,896;0,086;0,491;1930618;43
cnn_darts;0,638;0,072;0,355;1930618;0
cnn_nats;20,684;20,58;20,632;1692826;0
cnn_nats;26,404;25,976;26,19;1692826;1
cnn_nats;25,496;24,148;24,822;1692826;2
cnn_nats;17,328;14,336;15,832;1692826;3
cnn_nats;16,872;12,556;14,714;1692826;4
cnn_nats;14,24;9,288;11,764;1692826;5
cnn_nats;15,476;9,004;12,24;1692826;6
cnn_nats;15,74;8,588;12,164;1692826;7
cnn_nats;16,604;8,696;12,65;1692826;8
cnn_nats;15,424;6,764;11,094;1692826;9
cnn_nb101;17,524;11,906;14,715;1509594;0
cnn_nb101;19,554;11,516;15,535;1509594;1
cnn_nb101;21,868;12,464;17,166;1509594;2
cnn_nb101;19,248;9,416;14,332;1509594;3
