timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;fgsm_acc;pgd_acc;robustness;params
2025-12-12T11:50:45.290314;0;-;-;[2, 2, 0, 2, 3, 2];20,684;20,58;20,632;1692826
2025-12-12T11:52:59.226852;1;-;-;[1, 1, 0, 3, 3, 0];26,404;25,976;26,19;1692826
2025-12-12T11:55:14.040270;2;-;-;[3, 1, 1, 3, 3, 0];25,496;24,148;24,822;1692826
2025-12-12T11:57:28.364035;3;-;-;[1, 1, 1, 3, 3, 0];17,328;14,336;15,832;1692826
2025-12-12T11:59:42.245598;4;-;-;[1, 1, 1, 3, 3, 0];16,872;12,556;14,714;1692826
2025-12-12T12:01:54.453948;5;-;-;[1, 1, 1, 3, 3, 0];14,24;9,288;11,764;1692826
2025-12-12T12:04:07.328589;6;-;-;[1, 1, 1, 3, 3, 0];15,476;9,004;12,24;1692826
2025-12-12T12:06:19.733543;7;-;-;[1, 1, 1, 3, 3, 0];15,74;8,588;12,164;1692826
2025-12-12T12:08:32.663509;8;-;-;[1, 1, 1, 3, 3, 0];16,604;8,696;12,65;1692826
2025-12-12T12:10:46.084899;9;-;-;[1, 1, 1, 3, 3, 0];15,424;6,764;11,094;1692826
