timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;fgsm_acc;pgd_acc;robustness;params
2025-12-14T15:54:53.800439;0;-;-;{'op': array([[0., 0., 1.], [0., 0., 1.], [0., 1., 0.], [0., 1., 0.], [0., 1., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};17,524;11,906;14,715;1509594
2025-12-14T15:57:58.857015;1;-;-;{'op': array([[0., 0., 1.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};19,554;11,516;15,535;1509594
2025-12-14T16:01:04.867116;2;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};21,868;12,464;17,166;1509594
2025-12-14T16:04:09.877420;3;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};19,248;9,416;14,332;1509594
2025-12-14T16:07:15.945490;4;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,988;8,046;13,517;1509594
2025-12-14T16:10:21.388593;5;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,392;7,192;12,792;1509594
2025-12-14T16:13:26.631943;6;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};17,664;6,674;12,169;1509594
2025-12-14T16:16:32.282510;7;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,728;6,822;12,775;1509594
2025-12-14T16:19:35.252140;8;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};16,854;5,24;11,047;1509594
2025-12-14T16:22:43.150982;9;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};16,646;5,348;10,997;1509594
2025-12-14T16:25:49.251141;10;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[1., 0., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};16,21;5,038;10,624;1509594
2025-12-14T16:28:53.110885;11;-;-;{'op': array([[0., 1., 0.], [1., 0., 0.], [0., 1., 0.], [0., 1., 0.], [1., 0., 0.]], dtype=float32), 'edge': [array([[0., 1.]], dtype=float32), array([[0., 1., 0.]], dtype=float32), array([[0., 0., 0., 1.]], dtype=float32), array([[0., 0., 0., 1., 0.]], dtype=float32)]};18,746;6,548;12,647;1509594
