timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;fgsm_acc;pgd_acc;robustness;params;total_time_sec
37:13,0;0;-;-;gat_generalized_linear||gat_cos||gat_generalized_linear||skip||skip||none||l_concat;15,49815464;15,49815464;15,49815464;150132;39,02394176
37:13,2;1;-;-;gat_generalized_linear||gat_cos||gat_generalized_linear||skip||skip||none||l_concat;15,49815464;15,31365299;15,40590382;150132;39,02394176
37:13,4;2;-;-;gat_generalized_linear||gat_cos||gat_generalized_linear||skip||skip||skip||l_concat;15,49815464;15,31365299;15,40590382;150132;39,02394176
37:13,5;3;-;-;gat_generalized_linear||gat_cos||gat_generalized_linear||skip||skip||skip||l_concat;15,49815464;15,49815464;15,49815464;150132;39,02394176
37:13,7;4;-;-;sage||sage_sum||gat_generalized_linear||skip||skip||skip||l_concat;15,31365299;15,49815464;15,40590382;150132;39,02394176
37:13,9;5;-;-;sage||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;15,49815464;15,49815464;15,49815464;150132;39,02394176
37:14,1;6;-;-;sage||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;15,68265629;15,49815464;15,59040546;150132;39,02394176
37:14,3;7;-;-;sage||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;17,34317398;15,12915134;16,23616266;150132;39,02394176
37:14,5;8;-;-;sage||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;16,97416878;17,52767563;17,2509222;150132;39,02394176
37:14,7;9;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;20,4797039;19,74169731;20,11070061;150132;39,02394176
37:14,9;10;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;25,64575577;23,06273079;24,35424328;150132;39,02394176
37:15,1;11;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;29,15129089;27,85977745;28,50553417;150132;39,02394176
37:15,3;12;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;29,70479584;30,07380104;29,88929844;150132;39,02394176
37:15,5;13;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,07380104;30,44280434;30,25830269;150132;39,02394176
37:15,6;14;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:15,8;15;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:16,0;16;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:16,2;17;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
